review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
922,312,"La computadora funciona muy rápido sin problemas y el software iLife que viene con él (iPhoto, iMovie, iWeb, iTunes, GarageBand) también es muy útil.",software iLife positive <sep> iPhoto positive <sep> iMovie positive <sep> iWeb positive <sep> iTunes positive,54-68 <sep> 87-93 <sep> 95-101 <sep> 103-107 <sep> 109-115,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software positive <sep> iPhoto positive <sep> iMovie positive <sep> iWeb positive <sep> iTunes positive <sep> GarageBand positive <sep> runs positive
2361,1601,"En el pasado obtuve papel de lija superfino y ""arreglé"" los bordes redondeándolos.",bordes negative,60-66,"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off.",edges negative
2975,2553,Ha reemplazado su disco duro dos veces y (por supuesto) ha tenido que pagar por software antivirus cada año.,disco duro negative <sep> software antivirus negative,18-28 <sep> 80-98,He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.,hard drive negative <sep> antivirus software negative
871,2505,y el visor de páginas múltiples (le permite presionar un botón para ver cada página separada actualmente abierta al mismo tiempo en una pantalla) son excelentes para aquellos que trabajan sin parar o simplemente compran en línea.,visor de páginas múltiples positive,5-31,and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,multiple page viewer positive
2576,90,"La batería nunca mantuvo una carga por más de una hora y, en dos meses, dejó de mantener la carga durante más de diez minutos.",batería negative,3-10,"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery negative <sep> charge negative <sep> charge negative
1676,2353,Han desarrollado un excelente software propietario para editar videos e imágenes y estoy deseando utilizar estas herramientas con regularidad.,software propietario positive,30-50,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,proprietary software positive
2884,1472,Sin mencionar que a veces toda la unidad de carga decide no funcionar por completo.,unidad de carga negative,34-49,Not to mention sometimes the whole charger unit will decide not to work entirely.,charger unit negative
2337,1612,"Los gráficos y la pantalla son impresionantes y, aunque era una persona de PC, pude entender cómo usar una Mac con bastante rapidez.",gráficos positive <sep> pantalla positive,4-12 <sep> 18-26,"The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly.",graphics positive <sep> screen positive
2151,255,"Hay un pequeño círculo rojo al lado con una x en el medio, y cuando hago clic en él dice: ""Considere reemplazar la batería"" y no mantiene la carga completa.",batería neutral,115-122,"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",battery neutral <sep> charge negative
1081,1748,Escribir en el teclado se vuelve incómodo después de un uso prolongado debido a los bordes afilados sobre los que descansan las muñecas.,teclado negative <sep> bordes negative,15-22 <sep> 84-90,Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard negative <sep> edges negative
1956,2409,Los programas que vienen de serie con el sistema de ejecución Leopard son suficientes para que la persona promedio ejecute todos los conceptos básicos.,programas positive,4-13,The programs that come standard with the Leopard running system are enough for the average person to run all the basics.,programs positive <sep> Leopard running system neutral
1910,350,"Además, el teclado no se enciende, así que a menos que estés sentado en una habitación con algo de luz, no puedes ver nada y eso es malo para mí porque mi novio tiende a ver televisión en la oscuridad por la noche, lo que me deja sin forma de ver el teclado.",teclado negative <sep> teclado negative,11-18 <sep> 11-18,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,keyboard negative <sep> keyboard negative
1394,2021,Esto borró varios programas que estaban instalados en la computadora cuando se compró.,programas negative,18-27,This wiped out several programs that were installed on the computer when it was bought.,programs negative
1148,7,"¡Y la mejor parte es que incluso viene con una impresora gratuita (cuando tienen una determinada promoción / oferta, por supuesto)!",impresora positive,47-56,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer positive
59,839,"Se lo envié a Toshiba dos veces, lo cubrieron bajo la garantía.",garantía positive,54-62,I sent it back to Toshiba twice they covered it under the  warranty.,warranty positive
132,407,"Ah, sí, no olvide los costosos envíos desde y hacia HP.",Envío negative,31-36,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping negative
927,2612,No me tomó mucho tiempo cambiarme a los programas y la navegación de la computadora Mac; ha estado bien y me gusta la forma en que esta computadora portátil funciona mucho mejor.,programas positive <sep> navegación positive,40-49 <sep> 55-65,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs positive <sep> navigation positive
1277,2154,La pantalla grande también ayuda cuando trabaja en programas basados ​​en diseño como Adobe Creative Suite.,pantalla positive <sep> Adobe Creative Suite neutral,3-11 <sep> 86-106,The large screen also helps when you are working in design based programs like Adobe Creative Suite.,screen positive <sep> design based programs neutral <sep> Adobe Creative Suite neutral
1349,408,"He gastado tanto en gastos de envío como en comprar un netbook nuevo, por supuesto, de una marca diferente.",Envío negative,30-35,I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,shipping negative
163,1289,"Entonces, visité el centro de servicio de portátiles LG en Alexandra Road, con la esperanza de que pudieran apretar más la bisagra.",Centro de servicio de portátiles LG neutral <sep> bisagra negative,20-55 <sep> 123-130,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center neutral <sep> hinge negative
2611,2009,"La batería nunca mantuvo una carga por más de una hora y, en dos meses, dejó de mantener la carga durante más de diez minutos.",batería negative,3-10,"  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery negative <sep> charge negative <sep> charge negative
2242,441,Excelente monitor LED y bien equipado.,Monitor LED positive,10-21,Excellent LED monitor and well equipped.,LED monitor positive
25,295,La velocidad es increíble y estoy más que satisfecho.,velocidad positive,3-12,The speed is incredible and I am more than satisfied.,speed positive
1570,1987,"La cubierta de la unidad de DVD también se desprendió pronto, una señal de mala calidad de construcción.",calidad de construcción negative,80-103,"The cover for the DVD drive soon came off, too--a mark of poor construction quality.",cover for the DVD drive negative <sep> construction quality negative
731,2679,"También considere que las aplicaciones de MS Office son todas versiones de prueba, espero que tenga sus propias copias.",Aplicaciones de MS Office negative,26-51,"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps negative
969,668,"las características son geniales, lo único que necesita son mejores altavoces.",características positive <sep> Altavoces negative,4-19 <sep> 68-77,"the features are great, the only thing it needs is better speakers.",features positive <sep> speakers negative
273,1417,"La placa tiene un conector defectuoso con la fuente de alimentación y poco después de que expire la garantía, la fuente de alimentación comenzará a tener problemas.",conector negative <sep> fuente de alimentación negative <sep> garantía negative <sep> fuente de alimentación negative,18-26 <sep> 45-67 <sep> 100-108 <sep> 45-67,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board negative <sep> connector negative <sep> power supply negative <sep> warrenty negative <sep> power supply negative
380,2392,"Estoy muy contento de haberlo comprado, gran netbook, precio bajo.",precio positive,54-60,"Am very glad I bought it, great netbook, low price.",price positive
1280,779,Esta es la primera vez que escuché que su servicio al cliente de Dell era deficiente y que estaban trabajando para mejorarlo.,Servicio al Cliente negative,42-61,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,customer service negative
2417,1769,Las capacidades de Internet también son muy sólidas y captan señales con mucha facilidad.,capacidades de internet positive,4-27,The internet capabilities are also very strong and picks up signals very easily.,internet capabilities positive
2579,1366,"Después de que expiró la garantía, el disco duro se estropeó y habría costado más repararlo que reemplazarlo.",garantía neutral <sep> disco duro negative,25-33 <sep> 38-48,  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,warrenty neutral <sep> hard drive negative
2507,2689,"No me gusta el peso ni el tamaño, cubersome.",peso negative,15-19,"I dislike the weight and size, cubersome.",weight negative <sep> size negative
2618,2011,La máquina tarda en arrancar y ocasionalmente se bloquea por completo.,arrancar negative,20-28,  The machine is slow to boot up and occasionally crashes completely.,boot up negative
2459,1130,"Después de reemplazar el disco duro, la batería dejó de funcionar (3 meses de uso), lo cual fue frustrante.",disco duro neutral <sep> batería negative,25-35 <sep> 40-47,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,hard drive neutral <sep> battery negative
1490,2611,"Apple siempre es genial en cuanto a la estética de las cosas, siempre se les ocurren productos atractivos.",estética positive,39-47,"Apple is always great about the aesthetics of things, they always come up with good looking products.",aesthetics positive
162,488,Pero habíamos pagado por bluetooth y no había ninguno.,Bluetooth negative,25-34,"But we had paid for bluetooth, and there was none.",bluetooth negative
2796,1614,Creo que la calidad de un mac vale el precio.,calidad positive <sep> precio positive,12-19 <sep> 38-44,I believe that the quality of a mac is worth the price.,quality positive <sep> price positive
377,206,El i5 saca mi escritorio del agua cuando se trata de renderizar videos.,i5 negative,3-5,The i5 blows my desktop out of the water when it comes to rendering videos.,i5 negative
1961,2239,"Después de realizar una investigación exhaustiva, macconnection tuvo el precio más bajo en el MBP i5 de 15 "".",precio positive,72-78,"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5.",price positive
2638,1922,"Se suponía que la duración de la batería era de 6 horas, pero incluso si me quedara sin batería con la configuración de alta eficiencia, la batería solo me duraría un promedio de 2,5 a 3 horas.",duración de la batería negative <sep> batería neutral <sep> batería negative,18-40 <sep> 33-40 <sep> 33-40,"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery life negative <sep> battery neutral <sep> battery negative
1315,2132,Lo único que deseo es que la MacBook Pro de 15 pulgadas tenga altavoces mucho mejores en el lateral del teclado.,Altavoces negative <sep> teclado neutral,62-71 <sep> 104-111,The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers negative <sep> keyboard neutral
1608,2713,"Los gráficos, la claridad y la nitidez de la pantalla son excelentes.",claridad positive <sep> nitidez positive,17-25 <sep> 31-38,"The screen graphics and clarity, and sharpness are great.",screen graphics positive <sep> clarity positive <sep> sharpness positive
857,2049,"No conserva las señales de Internet, no importa dónde lo lleve.",señales de internet negative,16-35,It does not keep internet signals no matter where you bring it.,internet signals negative
2715,1565,La resolución es incluso superior a la de cualquier otro portátil del mercado.,resolución positive,3-13,The resolution is even higher then any other laptop on the market.,resolution positive
2569,213,Altavoces demasiado pequeños para ser de utilidad real.,Altavoces negative,0-9,Speakers too small to be of any real use.,Speakers negative
2769,2153,La pantalla grande te da la opción de ver cómodamente películas o programas de televisión en tu computadora en lugar de comprar un televisor adicional para tu dormitorio.,pantalla positive,3-11,The large screen gives you the option to comfortably watch movies or TV shows on your computer instead of buying an additional TV for your dorm room.,screen positive
1398,333,"Sus gráficos no están nada mal, para el extremo inferior del espectro de MacBook Pro, fácilmente capaz de ejecutar StarCraft II y otros juegos con gráficos comparables.",gráficos positive <sep> gráficos neutral,4-12 <sep> 4-12,"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",graphics positive <sep> graphics neutral
1619,1441,DEJÓ DE ARRANCAR menos de una semana después de que finalizara mi garantía de un año.,ARRANCAR negative <sep> garantía de un año neutral,8-16 <sep> 66-84,STOPPED BOOTING UP less than a week after my one-year warranty was up.,BOOTING UP negative <sep> one-year warranty neutral
265,3058,"no mejoraron nada más como resolución, apariencia, sistema de enfriamiento, tarjeta gráfica, etc.",Resolución negative <sep> apariencia negative,27-37 <sep> 39-49,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution negative <sep> appearance negative <sep> cooling system negative <sep> graphics card negative
736,2624,La duración de la batería es sorprendentemente larga a 7 horas y 5 horas si la usas.,duración de la batería positive,3-25,The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life positive
798,2572,Batería de muy larga duración (hasta 10-11 horas dependiendo de cómo configure los ajustes de nivel de energía).,batería positive,0-7,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery positive
1156,937,También pude instalar y usar mis programas Photoshop y AfterEffects fácilmente.,Photoshop positive,43-52,  I was also able to install and use my Photoshop and AfterEffects programs easily.,Photoshop positive <sep> AfterEffects programs positive
2810,2731,El primero enviado: Touchpad no funcionó El segundo enviado: USB no funcionó El tercero enviado: Touchpad no funcionó El cuarto enviado: Aún no ha llegado.,USB negative,61-64,The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.,Touchpad negative <sep> USB negative <sep> Touchpad negative
2343,2934,La velocidad de Internet es espectacular.,velocidad de Internet positive,3-24,The internet speed is spectacular.,internet speed positive
1667,3022,Sigue siendo hermoso y tiene una reproducción de color mejor de lo que podría esperar de un portátil.,reproducción de color positive,33-54,It's still beautiful and has better color reproduction than I could ever expect from a notebook.,color reproduction positive
1827,1447,Me encantaba la netbook (menos el hecho de que era el sistema operativo Windows) hasta que esto empezó a suceder.,sistema operativo windows negative,54-79,I loved the netbook (minus the fact that it was windows OS) until this started happening.,windows OS negative
2326,1358,"Debido a que no compramos la garantía extendida a tiempo, estamos pendientes de la reparación.",garantía extendida negative,29-47,"Because we did not purchase the extended warranty in time, we are on the hook for the repair.",extended warranty negative
2546,2101,Lo cual es genial. Estoy ejecutando Vista Business y obtuve un puntaje de 5.X en el índice. Nunca he visto una máquina con Windows tener un puntaje total de 5.,Vista Business positive,36-50,Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.,Vista Business positive
1597,1221,"Me encantaba este Netbook porque tenía una pantalla y una pantalla increíbles y era pequeño y liviano, pero después de 1 semana dejó de abrirme páginas web (incluso después de instalar nuevos navegadores) y finalmente comenzó a darme una pantalla azul y a fallar cada vez. ",pantalla positive <sep> navegadores neutral,43-51 <sep> 192-203,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",screen positive <sep> display positive <sep> browsers neutral
1959,1740,"El material con el que está hecho este Pro parece mucho mejor que cualquier PC. Especificaciones: Como dije, esto funciona mucho mejor que cualquier computadora que haya tenido en el pasado.",Material positive <sep> Especificaciones negative,3-11 <sep> 80-96,The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,Material positive <sep> Specs negative <sep> performs positive
1246,1713,"¡Me encanta la velocidad, especialmente!",velocidad positive,15-24,"Love the speed, especially!",speed positive
1150,560,Es muy fácil para cualquiera usar una manzana y especialmente el portátil mcbook pro.,usar positive,29-33,it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use positive
1091,204,La resolución de la pantalla era exactamente lo que estaba buscando.,resolución de la pantalla positive,3-28,The screen resolution was exactly what I was looking for.,screen resolution positive
2339,2824,Fácil de usar y con excelentes gráficos.,gráficos positive <sep> usar positive,31-39 <sep> 9-13,"Simple to use, and great graphics.",graphics positive <sep> use positive
2430,1369,Esta es una revisión del sistema Windows Vista.,sistema windows vista neutral,25-46,This is a review of windows vista system.,windows vista system neutral
2654,2961,Mi única queja con esta computadora portátil es que he notado un sonido de fuzz electrónico que sale de la toma de auriculares cuando los auriculares están enchufados.,toma de auriculares negative,107-126,My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,electronic fuzz sound negative <sep> headphone jack negative
1585,2959,"Los 2 GB de RAM son suficientes, capaces de ejecutar Windows 7 y al menos 2 o 3 otros programas casi sin ralentización.",2 GB de RAM positive <sep> Windows 7 positive <sep> programas positive,4-15 <sep> 53-62 <sep> 86-95,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",2 GB of RAM positive <sep> Windows 7 positive <sep> programs positive
1132,675,Más de 10 horas de batería ...,batería positive,19-26,10 plus hours of battery...,battery positive
480,220,"Aunque el precio es más alto que las computadoras portátiles Dell, las Macbook valen la pena.",precio negative,10-16,"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price negative
349,2323,Me gusta cómo Mac OS es tan simple y fácil de usar.,Mac OS positive <sep> usar positive,14-20 <sep> 46-50,I like how the Mac OS is so simple and easy to use.,Mac OS positive <sep> use positive
330,1355,Corre caliente Pensé que estábamos pagando por la calidad en nuestra decisión de comprar un producto de Apple.,calidad negative,50-57,Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality negative
281,2221,"Por supuesto, también tengo varios paquetes de software excelentes que vienen de forma gratuita, incluidos iWork, GarageBand e iMovie.",iMovie positive,127-133,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages positive <sep> iWork positive <sep> GarageBand positive <sep> iMovie positive
1270,2813,La memoria se puede actualizar.,Memoria positive,3-10,Memory is upgradable.,Memory positive
1569,2821,"Oh sí, no tiene teclado numérico en el lateral.",teclado numérico negative,16-32,"Oh yea, has no numeric pad on the side.",numeric pad negative
415,2540,Los programas son fáciles de usar y rápidos de procesar. Esta computadora funciona a las mil maravillas.,programas positive <sep> usar positive,4-13 <sep> 29-33,the programs are esay to use and are quick to process this computer works like a charm.,programs positive <sep> use positive
1252,2155,"La velocidad le da el poder de trabajar en estos proyectos sin problemas, y varios a la vez si sembra.",velocidad positive,3-12,"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed positive
2689,132,"Por algunas razones extrañas, la computadora no reconoce el sistema operativo.",sistema operativo negative,60-77,For some odd reasons the computer doesn't reconize the operation system.,operation system negative
1342,3044,"Entonces, la capacidad del disco duro realmente no me importa.",capacidad del disco duro neutral,13-37,"So, the hard disk capacity really doesn't matter to me.",hard disk capacity neutral
627,884,"Ahora ,,,,, mi monitor ha estado funcionando durante unos 2 meses.",monitor negative,15-22,"Now,,,,,my monitor has been acting up for about 2 months.",monitor negative
667,970,"No tengo idea de cómo grabar CD o usar la cámara web, solo para empezar.",cámara web neutral,42-52,"I have no idea how to burn cd's or to use the web cam, just for starters.",web cam neutral <sep> burn cd's neutral
776,1674,Todo por tan buen precio.,precio positive,18-24,All for such a great price.,price positive
310,2534,Pero la máquina es increíble e iLife es genial y me encanta Snow Leopard X.,iLife positive,31-36,But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife positive <sep> Snow Leopard X positive
1582,1288,"Llevamos la netbook aquí y allá, por lo que es un poco irritante cuando la pantalla LCD simplemente se ""desliza"" hacia abajo.",LCD negative,84-87,"We carry the netbook around here and there, hence it's kinda of irritating when the LCD just ""slide"" downwards.",LCD negative
885,2020,Tuve que llamar a HP y pedir un disco de recuperación porque la computadora no viene con uno y rehacerlo por completo.,disco de recuperación negative,32-53,I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk negative
172,1374,"Además, si necesita hablar con un representante de Microsoft, hay un cargo, que creo que es un robo, ya que se le cobran cantidades enormes por un sistema muy mal diseñado, que la mayoría de la gente habría optado por XP si pudiera.",sistema negative <sep> XP positive,147-154 <sep> 218-220,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft negative <sep> system negative <sep> XP positive
2771,443,"Excelente computadora portátil para la escuela, fácil de usar para principiantes en el hogar.",usar positive,57-61,"Great laptop for school, easy to use for beginners in the household.",use positive
1917,2749,Me encanta que no ocupe espacio como una computadora normal.,espacio positive,24-31,Love that it doesn't take up space like a regular computer.,space positive
1473,161,"Por el mismo precio, obtienes mucho más en el Asus .... 1920x1080 res.",precio negative,13-19,"For the same price, you get a lot more in the Asus....1920x1080 res.",price negative
2905,2430,Tuve algunos problemas para encontrar un caso que encajara.,caso negative,41-45,Had some trouble finding a case that it would fit in.,case negative
1855,105,"Eso es muy posible, pero como no crean controladores de Windows XP para la tarjeta de sonido de esta máquina, me quedé atascado hasta que salió Windows 7.",Controladores de Windows XP negative <sep> tarjeta de sonido negative <sep> Windows 7 positive,39-66 <sep> 75-92 <sep> 144-153,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows XP drivers negative <sep> sound card negative <sep> Windows 7 positive
2688,2991,La duración de la batería necesita más vida.,Duración de la batería negative,3-25,Battery life needs more life.,Battery life negative
2544,1592,Disfruta de esa fuerza y ​​durabilidad de Toshib sin igual,fuerza positive <sep> durabilidad positive,16-22 <sep> 27-38,Enjoy that Toshib force and durability unparalleled,force positive <sep> durability positive
2781,784,"Si esto es una mejora en el servicio al cliente, ¡también odiaría ver lo que era antes!",Servicio al Cliente negative,28-47,If this is an improvement in Customer Service then I would hate too see what it was before!,Customer Service negative
1011,357,El teclado tiene un tamaño razonable.,Teclado positive,3-10,Keyboard is reasonable size.,Keyboard positive <sep> size positive
470,1041,Cargado de bloatware.,bloatware neutral,11-20,Loaded with bloatware.,bloatware neutral
2264,1727,"El más reciente es que mi navegador de Internet Safari me está volviendo loco, pero acabo de usar Firefox en su lugar.",Navegador de internet safari negative <sep> Firefox positive,26-54 <sep> 98-105,"The most recent being that my Safari internet browser is freaking out on me, but I have just been using firefox instead.",Safari internet browser negative <sep> firefox positive
2856,1771,Es fácil navegar y actualizar programas.,navegar positive,9-16,It is easy to navigate and update programs.,update programs neutral <sep> navigate positive
1886,1076,El sistema está perdiendo aproximadamente un 20% de rendimiento debido a eso.,rendimiento negative <sep> Sistema negative,52-63 <sep> 3-10,System is loosing about 20% of performance because of that.,performance negative <sep> System negative
2863,1960,"En general, una experiencia muy decepcionante, excepto que aprendí lo bueno que es Geek Squad y también el servicio al cliente.",Servicio al Cliente positive,107-126,"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.",Customer Service positive
147,1718,Finalmente hice la migración desde mi disco de respaldo de iMac que usa USB.,USB neutral,72-75,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc neutral <sep> USB neutral
394,1770,"Ha superado con creces mis expectativas de energía, almacenamiento y capacidad.",almacenamiento positive,52-66,"It has far exceeded my expectations for power, storage, and abilitiy.",power positive <sep> storage positive <sep> abilitiy positive
1620,2860,"Pero, por el costo, esto es un ganador.",costo positive,13-18,"But, for the cost this is a winner.",cost positive
1874,398,"En consecuencia, he decidido NUNCA comprar otro producto HP (mi Compaq de cinco años) que duró 5 años antes de que el disco duro fallara.",disco duro negative,118-128,"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.",hard drive negative
2305,1012,¡Tuve que pagar el envío!,Envío negative,19-24,I had to pay for the shipping!,shipping negative
1388,301,No he tenido ningún problema con el cierre o la congelación de las aplicaciones.,aplicaciones positive,67-79,I have not had a problem with the applications quitting or freezing.,applications positive
800,2517,"El modelo negro también tiene una apariencia impecable muy agradable, uno de los portátiles con mejor apariencia que he visto.",apariencia positive,34-44,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance positive
1795,2830,"Ahora, cuando hice el pedido, no fui a gran escala para la cámara web o el teclado completo, quería algo básico para ser fácil de llevar cuando uso muletas o silla de ruedas y con una mochila para computadora portátil.",cámara web neutral <sep> teclado neutral <sep> llevar positive,59-69 <sep> 75-82 <sep> 130-136,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,webcam neutral <sep> keyboard neutral <sep> carry positive
1216,2531,Me encanta la estabilidad del software y el sistema operativo de Mac.,estabilidad positive <sep> sistema operativo positive,14-25 <sep> 44-61,Love the stability of the Mac software and operating system.,stability positive <sep> Mac software positive <sep> operating system positive
3034,2272,"También usamos Paralles para poder ejecutar máquinas virtuales de Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003 y Windows Server 2008 Enterprise.",Paralles neutral <sep> Windows XP Professional neutral <sep> Windows 7 Home Premium neutral <sep> Windows Server Enterprise 2003 neutral <sep> Windows Server 2008 Enterprise neutral,15-23 <sep> 66-89 <sep> 91-113 <sep> 115-145 <sep> 148-178,"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Paralles neutral <sep> Windows XP Professional neutral <sep> Windows 7 Home Premium neutral <sep> Windows Server Enterprise 2003 neutral <sep> Windows Server 2008 Enterprise neutral
564,451,Fue muy fácil de aprender y usar. No tomó mucho tiempo acostumbrarse a Mac OS.,Mac OS positive <sep> usar positive,71-77 <sep> 28-32,It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS positive <sep> use positive
1701,73,"El teclado negro más nuevo se alejó un poco del gris anterior, que se veía realmente elegante, ¡pero sigue siendo un gran portátil!",teclado negro negative,3-16,"The newer black keyboard took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!",black keyboard negative
2695,634,Respondo que no tengo la computadora vieja y así perdería los datos de mi disco duro.,disco duro negative,74-84,I respond that I do not have the old computer and this way I would lose the data on my hard drive.,hard drive negative
337,2696,Me gustaría tener botones de volumen en lugar del ajuste que está en el frente.,botones de volumen negative,18-36,I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons negative
673,2414,"La pantalla de 17 pulgadas es muy grande, pero la computadora es muy liviana.",Pantalla de 17 pulgadas negative,3-26,"The 17 inch screen is very large, but the computer is very light.",17 inch screen negative
2923,1407,"Mi computadora se congeló en varias ocasiones, tenía botones que se caían al azar e incluso tenía momentos en los que la computadora se negaba a encenderse.",botones negative,53-60,"My computer froze on several occasion, had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all.",buttons negative
1096,1484,"Si la actualización es posible a Windows 7 completo, entonces realmente seré un geek muy feliz.",Windows 7 positive,33-42,"If upgrade is possible to the full Windows 7, then I will truly be a very happy geek.",Windows 7 positive
1051,1152,Entonces el disco duro falló;,disco duro negative,12-22,Then the hard drive failed;,hard drive negative
1005,1921,Los programas fallaban todo el tiempo y resultó ser una computadora portátil muy inestable y poco confiable para mí.,Programas negative,4-13,"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs negative
2645,2990,Tamaño y peso adecuados para la portabilidad.,peso positive <sep> portabilidad positive,9-13 <sep> 32-44,Right size and weight for portability.,size positive <sep> weight positive <sep> portability positive
970,1106,"Seguía funcionando, pero no había nada en la pantalla.",pantalla negative,45-53,"It was still working, but there was nothing on the screen.",screen negative
2707,1504,Tiene suficiente RAM para funcionar sin problemas y suficiente memoria para satisfacer mis necesidades.,RAM positive <sep> memoria positive,17-20 <sep> 63-70,It has just enough RAM to run smoothly and enough memory to satisfy my needs.,RAM positive <sep> memory positive
2630,2088,"El sonido es un poco silencioso si estás en un avión, esto se puede superar fácilmente con un par de auriculares decentes.",sonido negative,3-9,"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",sound negative
1293,2466,Amo el teclado.,teclado positive,7-14,I love the keyboard.,keyboard positive
2115,2745,"Un precio más barato no debe ser igual a un producto ""barato"".",precio positive,3-9,"A cheaper price should not equal a ""cheap"" product.",price positive
872,768,Este era el tercer día y la parte aún no se había enviado.,Enviado negative,50-57,This was the 3rd day and part still had not been shipped.,shipped negative
2470,2827,"Esta computadora que usé todos los días, un bonito diseño compacto.",diseño positive,51-57,This computer I used daily nice compact design.,design positive
2372,941,Lo tuve cuatro meses cuando mi unidad de disco se negó a abrir.,unidad de disco negative,31-46,I had it four months when my disc drive refused to open.,disc drive negative
2441,1626,"Solía ​​construir mis propias computadoras de escritorio a partir de los componentes, y recientemente mi Pentium 4 de 7 años con computadora de escritorio HT 1 GB ram SATA dejó de funcionar (esto fue una estrella de rock hace 7 años).",Pentium 4 neutral,105-114,"I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago).",Pentium 4 neutral <sep> 1 GB ram neutral
